WORD,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORD,,,,,,,,,,,,,,,,,,,,,,list,,list,DWORD,,,,,,int,DWORD,string,int,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,float,,int,,action,action,action,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"White Flow Sword",,,1,1,0,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1343,231;232;234;233;235;236;237;238,52,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea06,iwea06;iwea06,iwea06_01;iwea06_01,iwea06_02;iwea06_02,,,,,,,1,,,,,,,,,,,,1,
10,"Sun Spirit Sword",,,1,1,0,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,60,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1343,231;232;234;233;235;236;237;238,52,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea07,iwea07;iwea07,iwea07_01;iwea07_01,iwea07_02;iwea07_02,,,,,,,1,,,,,,,,,,,,1,
11,"Golden Lizard Sword",,,1,1,0,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,70,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,1343,231;232;234;233;235;236;237;238,52,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea08,iwea08;iwea08,iwea08_01;iwea08_01,iwea08_02;iwea08_02,,,,,,,1,,,,,,,,,,,,1,
12,"Howling Wind Sword",,,1,1,0,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,80,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea09,iwea09;iwea09,iwea09_01;iwea09_01,iwea09_02;iwea09_02,,,,,,,1,,,,,,,,,,,,1,
13,"Wild Flame Sword",,,1,1,0,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,90,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,201;202;204;203;205,,231;232;234;233;235;236;237;238,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwea10,iwea10;iwea10,iwea10_01;iwea10_01,iwea10_02;iwea10_02,,,,,,,1,,,,,,,,,,,,1,
14,"Iron Water Blade",,,1,2,0,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,5,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb01,iweb01;iweb01,iweb01;iweb01,iweb01;iweb01,,,,,,,1,,,,,,,,,,,,1,
15,"Gallop Leap Blade",,,1,2,0,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,15,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb02,iweb02;iweb02,iweb02_01;iweb02_01,iweb02_01;iweb02_01,,,,,,,1,,,,,,,,,,,,1,
16,"Blue Spring Blade",,,1,2,0,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,25,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb03,iweb03;iweb03,iweb03_01;iweb03_01,iweb03_01;iweb03_01,,,,,,,1,,,,,,,,,,,,1,
17,"Cold Moon Blade",,,1,2,0,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,35,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb04,iweb04;iweb04,iweb04_01;iweb04_01,iweb04_02;iweb04_02,,,,,,,1,,,,,,,,,,,,1,
18,"Water Gear Blade",,,1,2,0,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,45,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb05,iweb05;iweb05,iweb05_01;iweb05_01,iweb05_02;iweb05_02,,,,,,,1,,,,,,,,,,,,1,
19,"Hidden Dragon Blade",,,1,2,0,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,55,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb06,iweb06;iweb06,iweb06_01;iweb06_01,iweb06_02;iweb06_02,,,,,,,1,,,,,,,,,,,,1,
20,"Steel Power Blade",,,1,2,0,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,65,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb07,iweb07;iweb07,iweb07_01;iweb07_01,iweb07_02;iweb07_02,,,,,,,1,,,,,,,,,,,,1,
21,"Dragon Spring Blade",,,1,2,0,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,75,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb08,iweb08;iweb08,iweb08_01;iweb08_01,iweb08_02;iweb08_02,,,,,,,1,,,,,,,,,,,,1,
22,"Sea Tide Blade",,,1,2,0,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,85,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,1344,251;252;253;255;254;256;257;258,53,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb09,iweb09;iweb09,iweb09_01;iweb09_01,iweb09_02;iweb09_02,,,,,,,1,,,,,,,,,,,,1,
23,"Dragon Slaughter Blade",,,1,2,0,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,95,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,211;212;213;215;214,,251;252;253;255;254;256;257;258,53,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iweb10,iweb10;iweb10,iweb10_01;iweb10_01,iweb10_02;iweb10_02,,,,,,,1,,,,,,,,,,,,1,
24,"Black Wood Shovel",,,1,3,1,1,10,1,,10,3,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa01,iwfa01,iwfa01,iwfa01,,,,,,,,,,,,,,,,,,,1,
25,"Hundreds Quench Shovel",,,1,3,1,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa02,iwfa02,iwfa02_01,iwfa02_01,,,,,,,,,,,,,,,,,,,1,
26,"Mundane Time Shovel",,,1,3,1,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa03,iwfa03,iwfa03_01,iwfa03_01,,,,,,,,,,,,,,,,,,,1,
27,"Steel Crescent Shovel",,,1,3,1,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa04,iwfa04,iwfa04_01,iwfa04_02,,,,,,,,,,,,,,,,,,,1,
28,"Lion Roaring Shovel",,,1,3,1,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa05,iwfa05,iwfa05_01,iwfa05_02,,,,,,,,,,,,,,,,,,,1,
29,"Tiger Roaring Shovel",,,1,3,1,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa06,iwfa06,iwfa06_01,iwfa06_02,,,,,,,,,,,,,,,,,,,1,
30,"Cloud Rack Shovel",,,1,3,1,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,60,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa07,iwfa07,iwfa07_01,iwfa07_02,,,,,,,,,,,,,,,,,,,1,
31,"Open Light Shovel",,,1,3,1,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,70,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa08,iwfa08,iwfa08_01,iwfa08_02,,,,,,,,,,,,,,,,,,,1,
32,"Occult Power Shovel",,,1,3,1,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,80,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,1345,431;432;435;433;434;436;437;438,54,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa09,iwfa09,iwfa09_01,iwfa09_02,,,,,,,,,,,,,,,,,,,1,
33,"Giant Master Shovel",,,1,3,1,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,90,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,401;402;405;403;404,,431;432;435;433;434;436;437;438,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfa10,iwfa10,iwfa10_01,iwfa10_02,,,,,,,,,,,,,,,,,,,1,
34,"Jade Smash Staff",,,1,4,1,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,5,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb01,iwfb01,iwfb01,iwfb01,,,,,,,,,,,,,,,,,,,1,
35,"Sky Gap Staff",,,1,4,1,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,15,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb02,iwfb02,iwfb02_01,iwfb02_01,,,,,,,,,,,,,,,,,,,1,
36,"Tame Dragon Staff",,,1,4,1,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,25,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb03,iwfb03,iwfb03_01,iwfb03_01,,,,,,,,,,,,,,,,,,,1,
37,"Tame Tiger Staff",,,1,4,1,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,35,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb04,iwfb04,iwfb04_01,iwfb04_02,,,,,,,,,,,,,,,,,,,1,
38,"Golden Buddha Staff",,,1,4,1,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,45,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb05,iwfb05,iwfb05_01,iwfb05_02,,,,,,,,,,,,,,,,,,,1,
39,"Demon Killing Staff",,,1,4,1,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,8000,,3000,,,,55,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb06,iwfb06,iwfb06_01,iwfb06_02,,,,,,,,,,,,,,,,,,,1,
40,"Brahma Staff",,,1,4,1,1,70,60,,70,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,12000,,3000,,,,65,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb07,iwfb07,iwfb07_01,iwfb07_02,,,,,,,,,,,,,,,,,,,1,
41,"Holy Judgement Staff",,,1,4,1,1,80,70,,80,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,15000,,3000,,,,75,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb08,iwfb08,iwfb08_01,iwfb08_02,,,,,,,,,,,,,,,,,,,1,
42,"Wonder Tree Staff",,,1,4,1,1,90,80,,90,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,20000,,3000,,,,85,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,1346,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb09,iwfb09,iwfb09_01,iwfb09_02,,,,,,,,,,,,,,,,,,,1,
43,"Fatal Power Staff",,,1,4,1,1,99,90,,100,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,25000,,3000,,,,95,,,,,,,,,ItemGetWeaponDPS*1.08,ItemGetParry,,,,,,,,411;414;412;413;415,,461;464;462;463;465;466;467;468,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwfb10,iwfb10,iwfb10_01,iwfb10_02,,,,,,,,,,,,,,,,,,,1,
44,"Golden Wish Wheel",,,1,5,3,1,10,1,,10,,,,,,,,,1,1,0,1,,,1,1,1,,,,,,,,,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1347,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba01,iwba01;iwba01,iwba01;iwba01,iwba01;iwba01,,,,,,,1,,,,,,,,,,,,1,
45,"Nine Welkin Wheel",,,1,5,3,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1347,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba02,iwba02;iwba02,iwba02_01;iwba02_01,iwba02_01;iwba02_01,,,,,,,1,,,,,,,,,,,,1,
46,"Bright Sky Wheel",,,1,5,3,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1347,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba03,iwba03;iwba03,iwba03_01;iwba03_01,iwba03_01;iwba03_01,,,,,,,1,,,,,,,,,,,,1,
47,"Flee Air Wheel",,,1,5,3,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1347,322;323;321;324;325;326;327,56,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba04,iwba04;iwba04,iwba04_01;iwba04_01,iwba04_02;iwba04_02,,,,,,,1,,,,,,,,,,,,1,
48,"Golden Light Wheel",,,1,5,3,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS,,,,,,,,,302;303;301;304,1347,322;323;321;324;325;326;327,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwba05,iwba05;iwba05,iwba05_01;iwba05_01,iwba05_02;iwba05_02,,,,,,,1,,,,,,,,,,,,1,
